day,value transactions in,value transactions out
239,0,0,
240,0,7440000,
241,0,0,
242,0,0,
243,0,0,
244,6804120,4804120,
245,0,0,
246,0,0,
247,21700000,0,
248,3538691,27238691,
249,0,0,
250,0,0,
251,0,0,
252,10324000,4070000,
253,570000,610000,
254,0,0,
255,58367400,38870000,
256,0,1010000,
257,0,0,
258,2000000,510000,
259,0,26191400,
260,0,0,
261,0,0,
262,0,0,
263,0,0,
264,0,0,
265,3640000,0,
266,2290000,2120000,
267,0,0,
268,0,0,
269,2179600,5948000,
270,0,0,
271,0,41600,
272,100500000,100500000,
273,4059000,310000,
274,6266000,2820000,
275,2016000,-835000,
276,0,7533535,
277,0,0,
278,1090000,1010000,
279,3448000,4030000,
280,2966000,3950000,
281,6000000,0,
282,2500000,0,
283,265000,260000,
284,16940000,26405903,
285,21890000,7510000,
286,6291000,1630000,
287,4598250,21871562,
288,425975,2193250,
289,4682460,2905975,
290,0,0,
291,0,1842460,
292,0,0,
293,0,0,
294,0,0,
295,0,0,
296,2530000,210000,
297,790000,3110000,
298,1844000,1844000,
299,5598000,1620000,
300,0,0,
301,6650000,10628000,
302,3500000,0,
303,0,3500000,
304,0,0,
305,2500000,0,
306,0,0,
307,3268000,1690000,
308,157000,1440000,
309,3070000,5865000,
310,0,0,
311,0,0,
312,0,0,
313,15634000,5000000,
314,549000,6140000,
315,0,0,
316,0,0,
317,1350000,0,
318,13535000,12320000,
319,0,0,
320,20000000,13220000,
321,10030000,0,
322,35899000,60317000,
323,0,0,
324,1090000,1090000,
325,23577746,23249746,
326,10846500,1010000,
327,24105000,18559500,
328,1514000,17224000,
329,0,0,
330,8615800,5794000,
331,6799379,2140000,
332,237000,7718179,
333,154000,0,
334,0,0,
335,0,0,
336,8067000,0,
337,3000000,5840000,
338,3336000,1308947,
339,3148947,0,
340,5036000,15593000,
341,10526000,0,
342,14600000,7310000,
343,235000,0,
344,13803556,31854556,
345,10200000,0,
346,0,10200000,
347,358000,358000,
348,25098800,20004000,
349,6666000,5111000,
350,1379814,8029614,
351,249000,60648,
352,1964000,2118352,
353,10410000,2184000,
354,0,0,
355,13930000,8490000,
356,0,13700000,
357,11757260,11757260,
358,5258810,5258810,
359,829000,829000,
360,0,0,
361,0,0,
362,6155000,1159000,
363,3016000,1010000,
364,6137000,12002000,
365,1618120,2755120,
366,1450000,0,
367,0,0,
368,4778000,-814000,
369,5148000,2760000,
370,6778000,16208000,
371,875000,0,
372,182000,0,
373,0,1057000,
374,323000,0,
375,990200,33200,
376,2504000,1390000,
377,2925000,0,
378,5010000,10329000,
379,24669000,24669000,
380,4554000,3500000,
381,17167973,11432430,
382,2290000,9079543,
383,0,0,
384,0,0,
385,14818700,10197000,
386,56855280,55256980,
387,24079200,18829200,
388,14672938,19860000,
389,10608840,16823138,
390,0,0,
391,518000,0,
392,92000,586640,
393,7668000,92000,
394,52000,0,
395,43953000,50080000,
396,2669600,4196399,
397,92000,0,
398,235000,0,
399,0,0,
400,1692481,1906682,
401,630600,0,
402,22434052,12901120,
403,1682000,0,
404,6783408,18731683,
405,0,0,
406,5000000,0,
407,0,5076257,
408,1550200,0,
409,16902760,18294960,
410,200000,0,
411,0,0,
412,2500000,0,
413,990000,0,
414,1946000,5794000,
415,2950000,0,
416,0,0,
417,12799712,15480640,
418,0,269072,
419,0,0,
420,0,0,
421,12954000,5370000,
422,3463000,10060000,
423,0,987000,
424,168000,0,
425,930100,168000,
426,2819000,0,
427,0,0,
428,0,0,
429,5000000,3749100,
430,0,5000000,
431,0,0,
432,0,0,
433,2550000,220000,
434,0,2330000,
435,0,0,
436,0,0,
437,1094000,0,
438,378000,0,
439,13313000,1730000,
440,3639000,220000,
441,0,0,
442,499000,520000,
443,2850000,19303000,
444,33594000,4570000,
