day,value
708,29717539
709,0
710,0
711,0
712,0
713,0
714,0
715,0
716,0
717,1317014
718,1317014
719,1317014
720,1317014
721,1317014
722,1317014
723,228215
724,0
725,0
726,0
727,0
728,0
729,0
730,0
731,0
732,0
733,0
734,0
735,0
736,0
737,0
738,0
739,0
740,0
741,0
742,0
743,24611548
744,154707623
745,154707623
746,79647623
747,79647623
748,79647623
749,79647623
750,79647623
751,79647623
752,79647623
753,104509227
754,104509227
755,104509227
756,68584227
757,68584227
758,50064227
759,50064227
760,50064227
761,50064227
762,50064227
763,50064227
764,50064227
765,50064227
766,0
767,0
768,0
769,12500000
770,12500000
771,0
772,0
773,0
774,0
775,0
776,0
777,0
778,0
779,0
780,0
781,0
782,0
783,0
784,0
785,0
786,0
787,5000000
788,6470040
789,0
790,0
791,0
792,0
793,0
794,0
795,0
796,0
797,0
798,0
799,0
800,0
801,0
802,0
803,0
804,0
805,0
806,0
807,0
808,0
809,205520
810,817040
811,817040
812,817040
813,1917040
814,1917040
815,1917040
816,1917040
817,82189968
818,82189968
819,12139968
820,12139968
821,12139968
822,12139968
823,12139968
824,12139968
825,12139968
826,12139968
827,12139968
828,1940000
829,1940000
830,0
831,0
832,0
833,0
834,0
835,0
836,0
837,0
838,0
839,0
840,0
841,0
842,0
843,0
844,0
845,0
846,0
847,0
848,0
849,0
850,0
851,0
852,0
853,0
854,0
855,0
856,0
857,0
858,0
859,0
860,0
861,0
862,0
863,0
864,40061694
865,40061694
866,40061694
867,40061694
868,40061694
869,40061694
870,0
871,0
872,0
873,0
874,0
875,0
876,0
877,0
878,16661668
879,11631668
880,11631668
881,11631668
882,11631668
883,11631668
884,11631668
885,11631668
886,11631668
887,11631668
888,11631668
889,11631668
890,11631668
891,11631668
892,11631668
893,11631668
894,13895668
895,13895668
896,13895668
897,13895668
898,13895668
899,13895668
900,0
901,0
902,56795996
903,56795996
904,56795996
905,4964000
